epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.51,1.27785,2.26813,1.3643,0.54572,0.46557,0.47279,0.25165,1.28402,2.12447,1.35965,0.000658915,0.000658915,0.000658915
2,549.777,1.36652,1.9765,1.38675,0.5327,0.46693,0.47911,0.24714,1.50581,2.28305,1.51676,0.00129933,0.00129933,0.00129933
3,849.964,1.43147,1.82977,1.422,0.48997,0.46508,0.42521,0.20509,1.58152,2.16397,1.6312,0.00191336,0.00191336,0.00191336
4,1172.37,1.45318,1.83497,1.45321,0.5631,0.48942,0.5188,0.27162,1.46523,1.79299,1.54019,0.0018812,0.0018812,0.0018812
5,1491.35,1.39917,1.68945,1.41254,0.59523,0.54101,0.56471,0.32075,1.367,1.95045,1.431,0.0018416,0.0018416,0.0018416
6,1805.85,1.35293,1.55335,1.37945,0.68769,0.55159,0.61863,0.34482,1.35407,1.55926,1.45237,0.001802,0.001802,0.001802
7,2107.11,1.31196,1.51663,1.33943,0.54913,0.57407,0.5529,0.32188,1.37001,1.7566,1.42259,0.0017624,0.0017624,0.0017624
8,2479.73,1.27386,1.42187,1.33253,0.64282,0.59392,0.62997,0.38104,1.27835,1.45474,1.39683,0.0017228,0.0017228,0.0017228
9,2806.47,1.27398,1.39692,1.34285,0.69523,0.6045,0.66256,0.39838,1.28699,1.43966,1.37897,0.0016832,0.0016832,0.0016832
10,3140.23,1.27391,1.35816,1.33444,0.68763,0.60714,0.67206,0.42085,1.21022,1.43425,1.31568,0.0016436,0.0016436,0.0016436
11,3458.64,1.23019,1.40676,1.30402,0.65501,0.59921,0.65277,0.39805,1.21554,1.49339,1.32235,0.001604,0.001604,0.001604
12,3792.16,1.21219,1.3252,1.29749,0.67192,0.65558,0.69462,0.45063,1.13628,1.33272,1.26034,0.0015644,0.0015644,0.0015644
13,4112.54,1.20184,1.28645,1.31122,0.74309,0.62364,0.71007,0.45961,1.16621,1.24022,1.32318,0.0015248,0.0015248,0.0015248
14,4433.14,1.19298,1.27765,1.30372,0.67826,0.61347,0.6473,0.41846,1.20104,1.35866,1.32194,0.0014852,0.0014852,0.0014852
15,4733.37,1.16439,1.21524,1.27901,0.74421,0.6336,0.71801,0.46129,1.21109,1.25512,1.30676,0.0014456,0.0014456,0.0014456
16,5043.91,1.17945,1.24249,1.28537,0.69999,0.64286,0.70385,0.45335,1.19894,1.31376,1.36538,0.001406,0.001406,0.001406
17,5345.36,1.16749,1.20851,1.28404,0.65544,0.63492,0.68095,0.44725,1.16064,1.28435,1.31276,0.0013664,0.0013664,0.0013664
18,5630.49,1.10858,1.17016,1.24485,0.72834,0.65476,0.72005,0.47904,1.13126,1.24756,1.28808,0.0013268,0.0013268,0.0013268
19,5902.25,1.11529,1.13282,1.24229,0.75822,0.65476,0.73169,0.48617,1.1187,1.14132,1.28356,0.0012872,0.0012872,0.0012872
20,6177.18,1.09591,1.15268,1.2321,0.77222,0.61111,0.71063,0.46524,1.15189,1.20099,1.30062,0.0012476,0.0012476,0.0012476
21,6444.98,1.08461,1.15339,1.22655,0.70081,0.68651,0.70663,0.47249,1.0853,1.21811,1.2427,0.001208,0.001208,0.001208
22,6695.78,1.08918,1.13208,1.23056,0.75753,0.63624,0.74384,0.51304,1.07254,1.13395,1.2524,0.0011684,0.0011684,0.0011684
23,6903.2,1.06497,1.09831,1.21984,0.74672,0.67593,0.75224,0.51767,1.04731,1.05097,1.22964,0.0011288,0.0011288,0.0011288
